,last,high,low,lowestAsk,highestBid,percentChange,baseVolume,quoteVolume,time,second,minute,hour,week_day,week_number,month
7405,0.000193879866956145,0.0002,0.00018732000000037,0.000193648710678312,0.000187782629926007,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500600.0,0,10,21,2,3,3
7466,0.000193879866956145,0.0002,0.00018732000000037,0.000193648710678312,0.000187782629926007,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500660.0,0,11,21,2,3,3
7526,0.000193879866956145,0.0002,0.00018732000000037,0.000193648710678312,0.000187782629926007,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500720.0,0,12,21,2,3,3
7586,0.000193879866956145,0.0002,0.00018732000000037,0.000193648710678312,0.000187782629926007,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500780.0,0,13,21,2,3,3
7646,0.000193879866956145,0.0002,0.00018732000000037,0.000193385389888371,0.000187805165081004,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500840.0,0,14,21,2,3,3
7706,0.000193879866956145,0.0002,0.00018732000000037,0.000193385389888371,0.000187805165081004,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500900.0,0,15,21,2,3,3
7768,0.000193879866956145,0.0002,0.00018732000000037,0.000193268227508691,0.000187814555527065,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500960.0,0,16,21,2,3,3
7828,0.000193879866956145,0.0002,0.00018732000000037,0.000193268227508691,0.000187814555527065,-1.42169509,127.94199554832159393,659857.950439445145452249,1552501020.0,0,17,21,2,3,3
7890,0.000193879866956145,0.0002,0.00018732000000037,0.000193117467593628,0.000187825824682121,-1.42169509,127.94199554832159393,659857.950439445145452249,1552501080.0,0,18,21,2,3,3
7951,0.000193879866956145,0.0002,0.00018732000000037,0.000193117467593628,0.000187825824682121,-1.42169509,127.94199554832159393,659857.950439445145452249,1552501140.0,0,19,21,2,3,3
8012,0.000193879866956145,0.0002,0.00018732000000037,0.000192964043763145,0.000187835216161182,-1.42169509,127.94199554832159393,659857.950439445145452249,1552501200.0,0,20,21,2,3,3
8072,0.000193879866956145,0.0002,0.00018732000000037,0.000192964043763145,0.000187835216161182,-1.42169509,127.94199554832159393,659857.950439445145452249,1552501260.0,0,21,21,2,3,3
8134,0.000193879866956145,0.0002,0.00018732000000037,0.000192822470010534,0.000187846486555909,-1.42169509,127.94199554832159393,659857.950439445145452249,1552501320.0,0,22,21,2,3,3
8194,0.000193879866956145,0.0002,0.00018732000000037,0.000192822470010534,0.000187846486555909,-1.42169509,127.94199554832159393,659857.950439445145452249,1552501380.0,0,23,21,2,3,3
8256,0.000193879866956145,0.0002,0.00018732000000037,0.000192822470010534,0.000187846486555909,-1.42169509,127.94199554832159393,659857.950439445145452249,1552501440.0,0,24,21,2,3,3
8316,0.000193879866956145,0.0002,0.00018732000000037,0.000192822470010534,0.000187846486555909,-1.42169509,127.94199554832159393,659857.950439445145452249,1552501500.0,0,25,21,2,3,3
8377,0.000193879866956145,0.0002,0.00018732000000037,0.000192476130105656,0.000187869029374124,-1.42169509,127.94199554832159393,659857.950439445145452249,1552501560.0,0,26,21,2,3,3
8439,0.000193879866956145,0.0002,0.00018732000000037,0.000192476130105656,0.000187869029374124,-1.42169509,127.94199554832159393,659857.950439445145452249,1552501620.0,0,27,21,2,3,3
8499,0.000187869029374124,0.0002,0.00018732000000037,0.000192361023432427,0.000187878423013464,-4.47790815,128.054522530321593928,660448.975056998895461308,1552501680.0,0,28,21,2,3,3
8561,0.000187869029374124,0.0002,0.00018732000000037,0.000192361023432427,0.000187878423013464,-4.47790815,128.054522530321593928,660448.975056998895461308,1552501740.0,0,29,21,2,3,3
8620,0.000187869029374124,0.0002,0.00018732000000037,0.000192231973081645,0.000187889696000666,-4.47790815,127.974010104658043651,660039.609269289410383309,1552501800.0,0,30,21,2,3,3
8681,0.000187869029374124,0.0002,0.00018732000000037,0.000192175662723756,0.000187895332747913,-4.47790815,127.974010104658043651,660039.609269289410383309,1552501860.0,0,31,21,2,3,3
8742,0.000187869029374124,0.0002,0.00018732000000037,0.000192175662723756,0.000187895332747913,-4.47790815,127.974010104658043651,660039.609269289410383309,1552501920.0,0,32,21,2,3,3
8803,0.000187869029374124,0.0002,0.00018732000000037,0.000192175662723756,0.000187895332747913,-4.47790815,127.974010104658043651,660039.609269289410383309,1552501980.0,0,33,21,2,3,3
8864,0.000187869029374124,0.0002,0.00018732000000037,0.000191948424105969,0.000187910364900651,-4.47790815,127.974010104658043651,660039.609269289410383309,1552502040.0,0,34,21,2,3,3
8925,0.000187869029374124,0.0002,0.00018732000000037,0.000191880594055447,0.000187916002267971,-4.47790815,127.974010104658043651,660039.609269289410383309,1552502100.0,0,35,21,2,3,3
8986,0.000187869029374124,0.0002,0.00018732000000037,0.000191880594055447,0.000187916002267971,-4.47790815,127.974010104658043651,660039.609269289410383309,1552502160.0,0,36,21,2,3,3
